"","time_stamp","user_id","experiment_id","field","response"
"1",1658179525275,NA,"e3pG6d","checkpoint","feed-landed"
"2",1658193512691,NA,"e3pG6d","checkpoint","leave_feed-entity-idx-1"
"3",1658201960156,NA,"e3pG6d","condition","1"
"4",1658201960159,NA,"e3pG6d","URLParams-experiment_id","e3pG6d"
"5",1658201960159,NA,"e3pG6d","URLParams-user_id",""
"6",1658179132738,"bob","e3pG6d","URLParams-experiment_id","e3pG6d"
"7",1658179132738,"bob","e3pG6d","URLParams-user_id","willo"
"8",1658179291412,"bob","e3pG6d","checkpoint","feed-landed"
"9",1658179293364,"bob","e3pG6d","condition","1"
"10",1658179382141,"bob","e3pG6d","checkpoint","feed-entity-idx-5"
"11",1658179383883,"bob","e3pG6d","checkpoint","feed-entity-idx-10"
"12",1658179394112,"bob","e3pG6d","checkpoint","feed-entity-idx-15"
"13",1658179428481,"bob","e3pG6d","checkpoint","feed-entity-idx-20"
"14",1658179436987,"bob","e3pG6d","checkpoint","feed-entity-idx-20"
"15",1658179453229,"bob","e3pG6d","checkpoint","feed-entity-idx-25"
"16",1658179458146,"bob","e3pG6d","checkpoint","feed-entity-idx-final"
"17",1658179459586,"bob","e3pG6d","checkpoint","feed-entity-idx-40"
"18",1658179459896,"bob","e3pG6d","checkpoint","feed-entity-idx-25"
"19",1658179459935,"bob","e3pG6d","checkpoint","feed-entity-idx-40"
"20",1658179460307,"bob","e3pG6d","checkpoint","feed-entity-idx-25"
"21",1658179465293,"bob","e3pG6d","checkpoint","feed-entity-idx-35"
"22",1658179480002,"bob","e3pG6d","checkpoint","feed-entity-idx-30"
"23",1658179481731,"bob","e3pG6d","checkpoint","feed-entity-idx-30"
"24",1658179483680,"bob","e3pG6d","checkpoint","feed-entity-idx-35"
"25",1658179484352,"bob","e3pG6d","checkpoint","feed-entity-idx-45"
"26",1658179488203,"bob","e3pG6d","checkpoint","feed-entity-idx-35"
"27",1658179488707,"bob","e3pG6d","checkpoint","feed-entity-idx-submit-click"
"28",1658179490060,"bob","e3pG6d","checkpoint","leave_feed-entity-idx-35"
"29",1658179491083,"bob","e3pG6d","checkpoint","feed-entity-idx-40"
"30",1658179500986,"bob","e3pG6d","monkeypox-cards-perc","50"
"31",1658179500986,"bob","e3pG6d","social-media_accuracy-importance","5_extremely"
"32",1658179500986,"bob","e3pG6d","social-media_followers","12"
"33",1658179500986,"bob","e3pG6d","social-media_following","12"
"34",1658179500986,"bob","e3pG6d","social-media_share-politics","0_dont-use-social-media"
"35",1658179500986,"bob","e3pG6d","social-media_use-freq","4_2to6times-per-week"
"36",1658179514569,"bob","e3pG6d","comments","1"
"37",1658179514569,"bob","e3pG6d","random","yes"
"38",1658179514569,"bob","e3pG6d","study-duration","4"
"39",1658179514570,"bob","e3pG6d","checkpoint","end-redirect"
"40",1658201996076,"alice","e3pG6d","checkpoint","feed-landed"
"41",1658201997383,"alice","e3pG6d","URLParams-experiment_id","e3pG6d"
"42",1658201997383,"alice","e3pG6d","URLParams-user_id","yourmomsfeed"
"43",1658201997384,"alice","e3pG6d","condition","2"
"44",1658202022948,"alice","e3pG6d","checkpoint","feed-entity-idx-5"
"45",1658202029300,"alice","e3pG6d","checkpoint","feed-entity-idx-10"
"46",1658202032609,"alice","e3pG6d","checkpoint","feed-entity-idx-10"
"47",1658202041011,"alice","e3pG6d","checkpoint","feed-entity-idx-15"
"48",1658202042643,"alice","e3pG6d","checkpoint","feed-entity-idx-30"
"49",1658202043125,"alice","e3pG6d","checkpoint","feed-entity-idx-final"
"50",1658202043495,"alice","e3pG6d","checkpoint","feed-entity-idx-45"
"51",1658202043896,"alice","e3pG6d","checkpoint","feed-entity-idx-45"
"52",1658202044779,"alice","e3pG6d","checkpoint","feed-entity-idx-submit-click"
"53",1658202045852,"alice","e3pG6d","checkpoint","leave_feed-entity-idx-46"
"54",1658202070433,"alice","e3pG6d","monkeypox-cards-perc","86"
"55",1658202070433,"alice","e3pG6d","social-media_accuracy-importance","5_extremely"
"56",1658202070433,"alice","e3pG6d","social-media_followers","10000000"
"57",1658202070433,"alice","e3pG6d","social-media_following","4"
"58",1658202070433,"alice","e3pG6d","social-media_share-politics","2_yes"
"59",1658202070433,"alice","e3pG6d","social-media_use-freq","5_daily"
"60",1658202084636,"alice","e3pG6d","comments",""
"61",1658202084636,"alice","e3pG6d","random","yes"
"62",1658202084636,"alice","e3pG6d","study-duration","20"
"63",1658202084636,"alice","e3pG6d","checkpoint","end-redirect"
